location,imagefile,cas_present,Latitude,Longitude,URL
1,PXL_20210725_040405506.jpg,True,15.041333,145.629769,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210725_040405506.jpg"" width=""350"">"
2,PXL_20210725_040330535.jpg,True,15.042053,145.628667,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210725_040330535.jpg"" width=""350"">"
3,PXL_20210729_015526414.jpg,False,15.050522,145.637697,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210729_015526414.jpg"" width=""350"">"
4,PXL_20210729_015405811.jpg,False,15.050625,145.637681,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210729_015405811.jpg"" width=""350"">"
5,PXL_20210724_071346293.jpg,False,15.055214,145.639239,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_071346293.jpg"" width=""350"">"
6,PXL_20210724_071022212.jpg,False,15.055247,145.639358,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_071022212.jpg"" width=""350"">"
7,PXL_20210724_071144783.jpg,False,15.055286,145.639233,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_071144783.jpg"" width=""350"">"
8,PXL_20210724_070331088.jpg,False,15.055289,145.639522,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_070331088.jpg"" width=""350"">"
9,PXL_20210724_071318940.jpg,False,15.0552,145.639231,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_071318940.jpg"" width=""350"">"
10,PXL_20210724_071606450.jpg,False,15.0554,145.639264,"<img src=""https://github.com/aubreymoore/Tinian-cycad-images/raw/main/images/PXL_20210724_071606450.jpg"" width=""350"">"
